frame,score
0,0.7752810120582581
1,0.7474590539932251
2,0.7273434400558472
3,0.7118785381317139
4,0.7330464124679565
5,0.7467453479766846
6,0.7491330504417419
7,0.7507013082504272
8,0.7753081321716309
9,0.7943759560585022
10,0.8149088025093079
11,0.8401688933372498
12,0.8662014007568359
13,0.8977800607681274
14,0.9130274653434753
15,0.9275264739990234
16,0.9444732666015625
17,0.9655687212944031
18,0.9657807946205139
19,0.9672533273696899
20,0.9677286148071289
21,0.9690992832183838
22,0.9731714129447937
23,0.974016010761261
24,0.975799560546875
25,0.9787982702255249
26,0.9846457242965698
27,0.986562967300415
28,0.9883456826210022
29,0.9894378781318665
30,0.9901748895645142
31,0.9908882975578308
32,0.9914594888687134
33,0.9918354153633118
34,0.9918754696846008
35,0.991569459438324
36,0.9911629557609558
37,0.9908844828605652
38,0.9905948042869568
39,0.9903684258460999
40,0.990134060382843
41,0.9898428320884705
42,0.9894244074821472
43,0.9878067970275879
44,0.9846807718276978
45,0.9801988005638123
46,0.9740135669708252
47,0.9665483236312866
48,0.9576325416564941
49,0.9477753043174744
50,0.9371649026870728
51,0.9263365864753723
52,0.9154670834541321
53,0.9108970761299133
54,0.9084408283233643
55,0.909994900226593
56,0.9132610559463501
57,0.9177224636077881
58,0.9258347749710083
59,0.9352672100067139
60,0.9453662037849426
61,0.9554640650749207
62,0.9655302166938782
63,0.9701225161552429
64,0.9748495221138
65,0.9776313304901123
66,0.9803844690322876
67,0.9830465912818909
68,0.9831648468971252
69,0.9832710027694702
70,0.9827261567115784
71,0.9808096289634705
72,0.9770988821983337
73,0.967308759689331
74,0.9560356736183167
75,0.9474660754203796
76,0.9393918514251709
77,0.9319524765014648
78,0.9292271733283997
79,0.9268512725830078
80,0.9268629550933838
81,0.9282928705215454
82,0.9314285516738892
83,0.9411358833312988
84,0.9522541761398315
85,0.9598672986030579
86,0.9669695496559143
87,0.9734012484550476
88,0.9748751521110535
89,0.975414514541626
90,0.9744062423706055
91,0.9739552140235901
92,0.9744575619697571
93,0.9752447009086609
94,0.9757088422775269
